country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bolivia,0.0747134477,0.0833844371,0.0737118516,0.0756132178,0.072694836,0.067365625,0.068171893,0.066944034,0.0766356084,0.087079098,0.092263368,0.090834149,0.0977192925,0.0968981077,0.107737887,0.123974502,0.12109534,0.136569217,0.126482128,0.141683499,0.148924987,0.127178854,0.138885082,0.186767144,0.19322794,0.18923993,0.208667946,0.224217803,0.229881913,0.227364696,0.230913828,0.238418424,0.282140134,0.287536378,0.289200672,0.280958534,0.31236267
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0.148281638,0.107796479,0.113077265,0.187595339,0.116121079,0.166399335,0.196594823,0.199449701,0.219215104,0.21879513,0.220056637,0.192492126,0.198513009,0.184263673,0.187554088,0.179809348,0.202646325,0.243026858,0.266908299,0.268111206,0.248153981,0.254325982,0.251975662,0.251945557,0.255110314
Botswana,0.0146799789,0.015899107,0.0146171432,0.0144871959,0.0143232248,0.019599301,0.0205234632,0.0210537838,0.0242994714,0.027480991,0.0303414799,0.0317135359,0.0385293358,0.0377863248,0.0379582464,0.0377770354,0.0365996224,0.0366750497,0.0392232719,0.0373557185,0.0487210883,0.0520714404,0.0541592117,0.0551585015,0.0542621758,0.0579676855,0.0586084013,0.0606890207,0.0633032992,0.0592439789,0.0554636037,0.0552542355,0.055140265,0.0654293047,0.0663157194,0.0763066851,0.0767999561
Brazil,4.01975613,3.889747694,3.937954798,3.941022243,4.304864081,4.602837144,4.973820218,5.121928586,5.29304658,5.466856806,6.169458408,6.095762212,6.213665734,6.445212454,6.760754004,7.184798125,7.640040848,8.032409672,8.292329531,8.475128172,8.714832296,8.499765112,8.661028122,8.802202197,9.195047013,9.479479831,9.723626773,10.33123081,10.80142916,10.68437352,11.71867241,12.16918874,12.44740789,12.82233983,13.14307394,12.86437129,12.4779307
Brunei,0.08184,0.085536,0.09298,0.073256,0.064832,0.076684,0.050989415,0.0818658832,0.0710834867,0.0828769747,0.0702530137,0.0560870403,0.0556035547,0.052174531,0.0500607506,0.0619154331,0.0576630228,0.0616663121,0.0557740182,0.0666120128,0.0671915651,0.0765724816,0.0891586567,0.0923138944,0.10267522,0.115570114,0.177669308,0.186514792,0.192123408,0.127168234,0.144752889,0.149380986,0.144522338,0.134840268,0.151167434,0.165151075,0.172661857
Bulgaria,1.349088975,1.340704656,1.385339574,1.405079861,1.404042593,1.462174182,1.44010762,1.434614371,1.436271102,1.327646217,1.199436579,0.932981899,0.926696841,0.903191004,0.909876439,0.995065165,1.002802524,0.918186467,0.850267822,0.768303898,0.773704244,0.788252659,0.799307965,0.803598592,0.808655489,0.843438647,0.859613601,0.838475369,0.840037694,0.719092717,0.735866247,0.793364885,0.756288587,0.706796163,0.75314167,0.789374631,0.755628021
Burkina Faso,0.006,0.006,0.006,0.006,0.006,0.006,0.00688621826,0.007382825,0.0075416929,0.00675901711,0.00686344752,0.00796184126,0.00807351074,0.00858013852,0.0104026845,0.0106292605,0.0107309775,0.0174111135,0.0152733145,0.015735749,0.0140759051,0.01652508,0.0168116552,0.0182376255,0.0163945725,0.0183959419,0.0180499123,0.0245186355,0.0268497494,0.0255607485,0.0275275037,0.0322630477,0.0374906762,0.0453099443,0.0423992389,0.0504599128,0.0504447753
Burma (Myanmar),0.0729607394,0.0745092391,0.0823004793,0.0948252996,0.102537848,0.107126085,0.0924896001,0.0892112574,0.0855329118,0.0886178836,0.0854115148,0.0850746153,0.0890367241,0.0946379104,0.110966291,0.117882528,0.118149364,0.126837236,0.13966171,0.151903801,0.17025921,0.159392275,0.179230059,0.207202939,0.211753209,0.272984462,0.259135401,0.277519623,0.255011583,0.235351081,0.23812617,0.262838796,0.310370267,0.351953269,0.413114773,0.463332607,0.511215203
Burundi,0.00115384401,0.00216079801,0.00114715201,0.00236479242,0.00252658,0.002623866,0.00288070709,0.00344870133,0.00418321245,0.00520251355,0.00568905302,0.00601552802,0.00515651028,0.00644345902,0.00695863202,0.00651611902,0.00702734428,0.00701459802,0.00630526402,0.0062062026,0.00517402052,0.004304379,0.00468238635,0.00417159403,0.00437046336,0.00416904363,0.00436125294,0.00693880312,0.00442729712,0.00438237847,0.00541058682,0.00554347541,0.00475542401,0.00601349914,0.00548254503,0.00518004471,0.00607999471
Cambodia,0.00450901216,0.00455400914,0.00557497025,0.00542080073,0.0063132,0.006365645,0.006188725,0.00623974,0.0071945864,0.007207074,0.00728867,0.007120344,0.00718221,0.007163761,0.007184876,0.021611971,0.0237652092,0.027258822,0.031590172,0.0325448235,0.0306756915,0.032456743,0.0323201424,0.0347337648,0.0360191396,0.0415578641,0.0442041803,0.0525046211,0.0529620913,0.0647308317,0.0751997934,0.0772179444,0.0866848493,0.0932810369,0.109991344,0.134405737,0.155628171
Cameroon,0.0470238044,0.0517108747,0.0602007214,0.0600715965,0.06098664,0.063975865,0.0696627175,0.066588711,0.0660241248,0.076902287,0.077290246,0.078275804,0.0784008676,0.069309154,0.074345885,0.076274488,0.0753822852,0.080120656,0.079936224,0.078457085,0.0815025318,0.081212171,0.0793251918,0.0853539123,0.0890923248,0.0854183853,0.104781695,0.104294152,0.10575933,0.113455561,0.128279763,0.134767573,0.130978866,0.117272212,0.149600236,0.157520273,0.149690874
Canada,9.535527207,9.411967872,9.025386143,8.990229458,9.509450568,9.871453697,9.992447095,10.30934598,10.7543873,10.87796054,10.76696547,10.87215896,11.21340774,11.47989692,11.8270778,11.99503947,12.34274063,12.36219575,12.06122063,12.7184332,12.78260221,12.84032497,13.02772798,13.36648579,13.59221105,13.74550851,13.8570154,13.88874283,13.58880458,13.31536251,13.81050242,14.15937366,14.31075147,14.72610123,14.80252386,14.72946903,14.67619333
Cape Verde,0.005,0.005,0.002,0.002,0.002,0.002,0.00131318145,0.00139434723,0.00192563375,0.0013465128,0.0013465128,0.0013465128,0.00177841375,0.0017923558,0.00162143647,0.00157714573,0.00177645332,0.00177218147,0.00177218147,0.0017722034,0.00458037256,0.00531721372,0.00557880782,0.00555506777,0.00619969379,0.00950064822,0.0102481975,0.0115746735,0.0118892886,0.010800055,0.011597074,0.0136043064,0.0121530249,0.0126144042,0.0134327911,0.0123414471,0.0123523112
Cayman Islands,0.001,0.002,0.002,0.002,0.002,0.002,0.00151951522,0.00160486299,0.00390829564,0.00389810028,0.00428679809,0.00420229956,0.00431963706,0.00394210154,0.00454774604,0.00487226762,0.00488561629,0.00487314646,0.00487314646,0.004873167,0.00721355046,0.00739309284,0.0079199612,0.00755640869,0.00728449516,0.00770513434,0.00791488552,0.0089128085,0.0093052523,0.00898611576,0.00853245161,0.00898282657,0.00859832688,0.00838473804,0.00866098951,0.00881317804,0.00915167191
Central African Republic,0.00268560822,0.00367944517,0.00371087231,0.00367328116,0.00372036,0.00362682,0.004775032,0.00417435788,0.00419471702,0.00418573888,0.00467155044,0.00408892344,0.00473713447,0.00451392644,0.00494900744,0.00495808554,0.00541933807,0.00540694744,0.00538522544,0.00538760336,0.00510192164,0.0054586122,0.0054454922,0.00492856774,0.00528672224,0.0055799103,0.00609031226,0.00624207056,0.00641557496,0.00639303096,0.00672766985,0.00730706604,0.00676497617,0.00673776386,0.00687529551,0.00691280717,0.00711884729
Chad,0.004,0.004,0.004,0.004,0.002,0.002,0.003905135,0.003937044,0.0022141879,0.00262110506,0.00484224527,0.004734707,0.0047476788,0.002556368,0.002981593,0.002981593,0.0029952412,0.0026977515,0.0026977515,0.0026977515,0.00352171462,0.00376033684,0.00367342784,0.00359657056,0.00394993094,0.00374006326,0.00379655411,0.00383131771,0.00385588181,0.00414630862,0.0048339912,0.00464730445,0.00466003679,0.00469944985,0.00469944985,0.00475895166,0.0048003118
Chile,0.426839404,0.421490866,0.376114172,0.372355767,0.3899804,0.388070072,0.394114217,0.408721159,0.449622458,0.503108853,0.567958145,0.567554049,0.630362251,0.670742038,0.720050393,0.788640856,0.844988431,0.934751286,0.925086907,0.970058546,0.983136383,1.018958533,1.069413765,1.105271428,1.184565012,1.244929328,1.268165692,1.259245014,1.280781539,1.253611868,1.259132937,1.336040905,1.321222794,1.372223201,1.346524394,1.395464628,1.479969112
China,15.85692613,15.80919817,16.60128739,17.7242263,19.30634977,20.15506152,24.96829593,26.33987641,28.14338354,28.20132014,31.05488713,28.57631298,29.93188847,32.27455385,34.70413035,37.43290322,39.20628389,37.2477997,38.30601832,40.17569186,42.93833611,45.47088092,48.86935742,56.97292046,66.43892555,74.57282036,82.43558574,88.79386846,92.9199923,100.4283721,109.3588297,120.8214434,129.4063003,135.0369326,136.8983406,137.183874,139.1977546
Colombia,0.682697047,0.697809558,0.744567592,0.747865633,0.825284652,0.847039452,0.885048403,0.838489463,0.896729749,0.950390518,0.935475356,0.961555475,0.955489151,1.056041082,1.104298675,1.118447865,1.191298777,1.208083132,1.217328697,1.167949752,1.197284882,1.192459642,1.200877891,1.200816212,1.252933238,1.242412836,1.305721305,1.298644938,1.3247671,1.325792573,1.357048425,1.518408362,1.557936209,1.622693467,1.700354489,1.700672997,1.767697578
Comoros,0.00124677601,0.00124290601,0.00124290801,0.00124304004,0.00126288,0.001074894,0.000709074023,0.00151725266,0.00151939545,0.00151727866,0.00179846525,0.00173524641,0.0017385517,0.00173499241,0.00173500641,0.00173379807,0.0017385477,0.00173480041,0.00111823741,0.00111833,0.00197119078,0.00154057614,0.00154057614,0.00197534874,0.00235863744,0.00218473444,0.00287885724,0.00157895113,0.00161072287,0.00200028134,0.00276034162,0.00227171331,0.00246269157,0.00266049062,0.00276795246,0.00256589764,0.00269482213
Congo (Brazzaville),0.0118898963,0.0143874343,0.0131641088,0.0120693682,0.01232788,0.017483344,0.0153271867,0.0186038973,0.0154545701,0.0173536043,0.019425433,0.0180319158,0.0169801528,0.015335712,0.01412502,0.014457264,0.0152252376,0.015566425,0.014557959,0.011563479,0.0133872113,0.0159533973,0.0144711115,0.0174447195,0.0185207628,0.0249642149,0.0292606914,0.0359417652,0.0405312739,0.0494316044,0.067958494,0.0805619705,0.0830526007,0.105105439,0.100220824,0.100258239,0.0956328861
Congo (Kinshasa),0.0913224905,0.0930546473,0.0938113058,0.0973224829,0.0955615298,0.0978928309,0.104019223,0.0986130326,0.108637738,0.112839234,0.107507547,0.100215667,0.110270927,0.105539567,0.092471474,0.101189055,0.103425072,0.0926735703,0.0870385733,0.0951176196,0.0732162834,0.0712808025,0.0743867516,0.0773381355,0.0876813182,0.0954183555,0.0999406744,0.103375018,0.0973482649,0.0954701024,0.106039362,0.114233762,0.112165057,0.135658706,0.161885273,0.125491278,0.126007595
Cook Islands,0.000834,0.001674,0.001646,0.00166,0.00166,0.001656,0.001253045,0.001253045,0.001256478,0.001253045,0.001253045,0.0008617577,0.0012575122,0.0012540759,0.0012540766,0.0012540762,0.001257512,0.0012540663,0.0012540647,0.0012540676,0.00167518862,0.00159734442,0.000864367264,0.000797737378,0.00135124505,0.0011670158,0.00130867335,0.00194784272,0.00199905985,0.00183998896,0.00118475092,0.00144981251,0.00159797187,0.00158886649,0.00174162884,0.00154748023,0.00151924394
Costa Rica,0.0557940309,0.0576342389,0.0553272749,0.0608538311,0.058596068,0.059517495,0.058308541,0.064340314,0.06959203,0.075975973,0.074260569,0.079719053,0.0939692864,0.101551022,0.103399861,0.105097919,0.105892147,0.119272088,0.122089689,0.140477948,0.14486056,0.147741507,0.154333683,0.157335642,0.162027059,0.16882998,0.175866374,0.185164734,0.188353545,0.182995375,0.186143361,0.1863904,0.18898224,0.189929682,0.194044054,0.201204092,0.208549951
Cote dIvoire (IvoryCoast),0.0739718644,0.0810418825,0.076095882,0.0742248594,0.06585236,0.077040768,0.07903509,0.086071396,0.0895802836,0.089768145,0.07733877,0.065053991,0.0634772272,0.071808453,0.073557723,0.080657589,0.094385978,0.095266559,0.096080777,0.124059508,0.12526549,0.124056069,0.121489635,0.108945168,0.117515152,0.130421805,0.111803622,0.119643245,0.130809715,0.127692235,0.129914387,0.12124294,0.14762554,0.163781871,0.172588614,0.178465718,0.193374929
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.307894146,0.311136155,0.332410315,0.349032496,0.344256148,0.351997315,0.370878158,0.375628472,0.370053594,0.3832726,0.37462491,0.40828394,0.406296224,0.406747437,0.407849038,0.404214831,0.408034748,0.39693874,0.402157437,0.361868068,0.360546768,0.362776929,0.349568663,0.338580756,0.346333397
Cuba,0.456975909,0.464194076,0.502901205,0.460000574,0.475673217,0.485695518,0.498831262,0.491434818,0.498405889,0.505516338,0.498533726,0.463463052,0.4120693,0.403686187,0.409313729,0.415577823,0.427074722,0.470068678,0.447602407,0.388010666,0.375047225,0.344671411,0.350107699,0.354745578,0.359314155,0.352899718,0.34386525,0.347551169,0.398347954,0.400402572,0.456581113,0.410056083,0.446052485,0.427202501,0.434643289,0.444170434,0.379576934
Cyprus,0.042,0.036,0.039,0.043,0.0440555175,0.0465020826,0.0490834998,0.0529863248,0.0534212029,0.0654778762,0.0700894452,0.0716604782,0.0809126188,0.0807976748,0.0928625452,0.0908887306,0.0901554931,0.0922065779,0.0991324538,0.105020475,0.110446659,0.1112072,0.110194399,0.118293749,0.10681027,0.11801121,0.123047051,0.12596802,0.130250971,0.125496172,0.120560838,0.120644106,0.113247307,0.101910497,0.102898889,0.106534726,0.114832321
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,1.713702037,1.645671714,1.686870873,1.765303186,1.737196422,1.659416246,1.556814112,1.669213704,1.704065771,1.705543531,1.812419197,1.853494948,1.834265099,1.843007684,1.832774494,1.816755597,1.73611039,1.79185922,1.774931222,1.767537407,1.708941431,1.685099135,1.676428246,1.657550802
Denmark,0.856632439,0.725449372,0.725709555,0.696187477,0.70669638,0.780914047,0.794936477,0.801142524,0.780042122,0.73671148,0.749322854,0.816606697,0.785575249,0.823267201,0.873045489,0.88181735,1.005682366,0.925893697,0.904882056,0.887924698,0.86610807,0.878110977,0.845517394,0.884453007,0.856724947,0.837298453,0.892458712,0.869181134,0.836759061,0.78535294,0.824691433,0.785382735,0.746841331,0.760820256,0.734230014,0.724687614,0.736335999
Djibouti,0.022,0.018,0.018,0.013,0.011,0.011,0.0097164095,0.0099281095,0.0097252056,0.022855789,0.023964623,0.023964623,0.0237767508,0.023923487,0.02457253,0.024686109,0.0248194956,0.02457253,0.02457253,0.02457253,0.0121153029,0.0120256867,0.0120959827,0.0129952447,0.0123111131,0.0119895151,0.0107417644,0.0113619932,0.0125031804,0.0108572373,0.0127288359,0.00967993927,0.0126437949,0.0127169303,0.0129386694,0.0131948708,0.0135607247
Dominica,0.00085949203,0.00112453003,0.00111408604,0.00117780027,0.00119104,0.001306258,0.00114220091,0.00153573791,0.00162778634,0.00162622593,0.00162574593,0.00162628993,0.00162807434,0.00162425793,0.00210582107,0.00163806374,0.00164528653,0.00164760021,0.00171865921,0.00177062244,0.00228553314,0.00165449267,0.0015169022,0.00177188506,0.002475876,0.0023434447,0.00233256291,0.00256966901,0.00280612522,0.00285024315,0.00308338594,0.00303722587,0.00292183935,0.00282022562,0.00304420206,0.00258627192,0.00279212904
Dominican Republic,0.0877106501,0.0862300013,0.0916872778,0.108078776,0.09367116,0.10126598,0.109377628,0.120265006,0.132413145,0.128675827,0.139129729,0.13413193,0.144021592,0.135026793,0.146654559,0.158174383,0.171954701,0.18178769,0.187010917,0.213222919,0.294430994,0.285523738,0.301947723,0.276943351,0.25816054,0.283506049,0.283323867,0.289768769,0.289517738,0.284995638,0.299976722,0.29459063,0.328750826,0.315167912,0.303070089,0.332722099,0.35597442
Ecuador,0.185965023,0.192418821,0.210504064,0.196810271,0.20842172,0.220691167,0.23704573,0.233835524,0.241565408,0.236785364,0.253261074,0.26642699,0.295640396,0.287074768,0.312066944,0.306103728,0.332164392,0.342094587,0.350482527,0.33616526,0.369256736,0.392540947,0.399814354,0.41371275,0.45042652,0.478083775,0.505255065,0.534466502,0.55850893,0.575398706,0.591271051,0.617361389,0.647103922,0.68125264,0.711173483,0.70406344,0.688940218
Egypt,0.706316583,0.819696948,0.916198145,1.049484737,1.149291437,1.212749621,1.240338085,1.29044741,1.303849927,1.344066669,1.421326683,1.423199227,1.426735854,1.513500124,1.592581541,1.630105117,1.769429405,1.828479343,1.894501805,1.936594908,1.994414767,2.225114358,2.224214728,2.421016891,2.6178935,2.733829708,2.900188017,3.077890097,3.192683381,3.344304033,3.47941815,3.603077143,3.764943626,3.725729238,3.711912268,3.73840231,3.81530152
