country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peru,0.2617,0.2617,0.2617,0.2621,0.2621,0.2621,0.2621,0.2621,0.2625,0.2625,0.2625,0.2625,0.2625,0.3689,0.3689,0.3689,0.3689,0.3689,0.3689,0.3689,0.5328,0.5328,0.5848,0.5848,0.5848,0.5848
Philippines,0.0144,0.4585,0.4585,0.4603,0.4635,0.5103,0.5104,0.76,0.7627,1.0856,1.2869,1.3293,1.3653,1.366,1.3668,1.3668,1.3712,1.3718,1.3718,1.3719,1.3719,1.3723,1.3723,1.3738,1.3738,1.3738
Portugal,0.134,0.1518,0.1518,0.1518,0.1518,0.1518,0.1534,0.1574,0.164,0.1642,0.1642,0.1649,0.1649,0.1649,0.1651,0.1657,0.1658,0.1805,0.1805,0.1997,0.1997,0.1997,0.7993,0.7993,0.7993,0.7993
Puerto Rico,1.5524,1.5524,1.5524,1.5613,1.5614,1.5614,1.5614,1.5614,1.5614,1.6898,1.6931,1.6963,1.7448,1.7448,1.7448,1.745,1.745,1.745,1.745,1.745,1.745,1.745,1.745,1.745,1.745,1.745
Romania,0.1737,0.1737,6.2989,6.9207,6.9207,6.9207,6.9207,6.9207,6.9207,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368,8.7368
Russia,0.3304,0.3371,0.3371,0.3371,0.6365,2.2938,2.4173,2.698,2.7206,2.7206,2.7206,2.7206,2.7206,2.7323,2.7323,2.7323,2.7375,2.7375,2.7375,2.7375,2.7375,2.7375,2.7375,2.7375,2.7375,2.7375
Saint Lucia,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129,0.0176,0.0176,0.0176,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
Saint Vincent and the Grenadines,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768
Samoa,0.0037,0.0408,0.0408,0.0408,0.0408,0.0515,0.0515,0.0547,0.0598,0.0646,0.0827,0.083,0.0831,0.0834,0.0837,0.0838,0.0838,0.0844,0.0848,0.0848,0.0848,0.0848,0.0848,0.0848,0.0848,0.0848
Saudi Arabia,0.2207,0.2207,0.2207,0.2207,0.2207,0.2207,1.1485,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675,1.1675
Senegal,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,0.5729,1.096,1.096,1.096,1.096,1.096,1.096,1.096,1.096,1.096,1.096,1.096
Seychelles,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0322,0.0322,0.0322,0.0322,0.0322
South Korea,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.8212,0.8216,0.8335,0.8419,0.9146,0.9149,0.9149,0.9294,0.9324,1.0034,1.0053,1.0181,1.0197,1.04,1.0423,1.0423
Spain,0.104,0.104,0.1095,0.1095,0.2514,0.266,0.3456,0.4618,0.5957,0.6175,0.674,0.8792,0.8821,0.8833,0.9009,0.9067,0.9067,0.9571,0.9659,0.9659,1.2367,1.2367,1.2367,1.2367,1.2367,1.2367
Sri Lanka,0.0018,0.0018,0.0018,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.0585,0.073,0.073,0.073,0.073,0.073
Suriname,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,0.8123,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543,1.543
Sweden,2.1279,2.1579,2.1628,2.4036,2.4181,2.4627,2.4754,2.7092,2.8588,2.8973,2.9115,3.5523,3.6634,3.6753,3.6792,3.6858,5.1992,5.2,5.5002,6.8888,6.9253,6.9265,7.0406,7.0614,7.9158,7.9158
Taiwan,0.0276,0.0276,0.0287,0.0324,0.033,0.0353,0.0411,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,0.0416,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769,1.0769
Tanzania,0.05,0.05,0.0501,0.0501,0.0501,0.0501,0.3105,0.3105,0.5041,0.513,0.513,1.046,1.046,1.046,1.046,2.3733,2.7681,2.7681,2.7681,2.7681,2.7681,2.7683,2.7683,2.7683,2.7683,2.7683
Thailand,1.3326,1.3664,1.3664,1.3712,1.3712,1.3712,1.3712,1.3712,1.4014,1.4205,1.5247,1.5247,1.6788,1.793,1.793,1.793,1.793,1.793,1.793,1.793,1.8263,1.8263,1.8263,1.8263,1.8263,1.8263
The Bahamas,0.0988,0.0988,0.0988,0.0988,0.0988,0.1047,0.1047,0.1047,0.105,0.105,0.105,0.105,0.105,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012,0.2012
Tonga,0.0041,0.0041,0.0041,0.0041,0.0041,1.4994,1.4994,1.4994,1.4994,1.4994,1.4994,1.4994,1.5007,1.5007,1.5007,1.5007,1.501,1.501,1.501,1.5031,1.5031,1.5031,1.5031,1.5031,1.5031,1.5031
Trinidad and Tobago,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0635,0.0635,0.0635,0.0635,0.0635,0.0635,0.0635,0.0635,0.0635,0.0635
Tunisia,0.2289,0.2289,0.2289,0.2289,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.283,0.6363,0.6363,0.6363,0.6363,0.6363,0.7959,0.7959,0.7959
Turks and Caicos Islands,0.0303,0.0665,0.0665,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971,0.0971
Ukraine,1.8964,1.8964,2.0616,2.0616,2.0616,2.0616,3.307,3.3115,3.3115,3.3545,3.3545,3.3545,3.3545,3.3545,3.3545,3.3595,3.3789,3.3789,3.3789,3.3789,3.3789,3.3789,3.3789,3.3789,3.3789,3.3789
United Kingdom,0.218,0.2207,0.2207,0.2318,0.2358,0.2638,0.272,0.3278,0.3386,0.3677,0.3783,0.393,0.4002,0.4002,0.4002,0.4002,0.4002,0.4002,0.4002,0.8184,0.8184,2.4573,4.1741,5.3418,6.6529,6.6529
United States of America,0.7666,4.9324,4.934,5.4999,5.5021,5.6025,5.6025,5.6026,5.7624,5.7772,5.7784,6.7075,6.7075,6.7076,6.7076,6.7076,6.7084,6.9158,6.9166,9.9684,9.9684,9.9732,9.9738,9.9821,9.9821,9.9821
United States Virgin Islands,0.2865,0.2865,0.2865,0.2933,0.2933,0.2933,0.2933,0.2933,0.2933,0.2933,0.2933,0.2933,0.4261,0.4261,0.836,0.836,0.8364,0.8364,0.8364,0.8364,0.8364,0.8364,0.8577,0.8577,0.8577,0.8577
Uruguay,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.0558,0.1,0.1,0.1,0.2469,0.3197,0.3197,0.3197,0.3197,0.3197
Venezuela,0.9771,0.9771,1.981,1.981,1.981,1.981,1.981,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281,2.1281
Viet Nam,0.0903,0.0903,0.0903,0.0903,0.0903,0.1084,0.1084,0.1085,0.1129,0.1341,0.1492,0.1587,0.1587,0.5441,0.5441,0.5441,2.4838,2.4838,2.4838,2.4838,2.4838,2.4838,2.4838,2.4838,2.4843,2.4843
